Date,Open,High,Low,Close,Volume
2014.05.09 01:19,1.383880,1.383880,1.383860,1.383860,0
2014.05.09 01:20,1.383850,1.383860,1.383800,1.383810,0
2014.05.09 01:21,1.383830,1.383830,1.383830,1.383830,0
2014.05.09 01:22,1.383840,1.383850,1.383840,1.383850,0
2014.05.09 01:23,1.383840,1.383850,1.383800,1.383800,0
2014.05.09 01:24,1.383810,1.383810,1.383800,1.383810,0
2014.05.09 01:25,1.383820,1.383820,1.383820,1.383820,0
2014.05.09 01:26,1.383830,1.383830,1.383810,1.383810,0
2014.05.09 01:27,1.383800,1.383800,1.383790,1.383800,0
2014.05.09 01:28,1.383810,1.383810,1.383720,1.383730,0
2014.05.09 01:30,1.383740,1.383780,1.383730,1.383770,0
2014.05.09 01:31,1.383760,1.383790,1.383720,1.383720,0
2014.05.09 01:32,1.383730,1.383810,1.383710,1.383800,0
2014.05.09 01:33,1.383810,1.383840,1.383780,1.383830,0
2014.05.09 01:34,1.383840,1.383840,1.383830,1.383830,0
2014.05.09 01:35,1.383840,1.383840,1.383830,1.383830,0
2014.05.09 01:36,1.383840,1.383840,1.383810,1.383820,0
2014.05.09 01:37,1.383800,1.383800,1.383770,1.383770,0
2014.05.09 01:38,1.383800,1.383800,1.383740,1.383770,0
2014.05.09 01:39,1.383760,1.383770,1.383740,1.383750,0
2014.05.09 01:40,1.383760,1.383790,1.383760,1.383790,0
2014.05.09 01:41,1.383820,1.383840,1.383820,1.383830,0
2014.05.09 01:42,1.383810,1.383810,1.383770,1.383780,0
2014.05.09 01:43,1.383790,1.383810,1.383770,1.383800,0
2014.05.09 01:44,1.383790,1.383800,1.383790,1.383800,0
2014.05.09 01:45,1.383790,1.383800,1.383790,1.383790,0
2014.05.09 01:46,1.383770,1.383780,1.383760,1.383780,0
2014.05.09 01:47,1.383790,1.383820,1.383790,1.383820,0
2014.05.09 01:48,1.383830,1.383900,1.383820,1.383880,0
2014.05.09 01:49,1.383890,1.383910,1.383870,1.383910,0
2014.05.09 01:50,1.383900,1.383920,1.383880,1.383910,0
2014.05.09 01:51,1.383900,1.384070,1.383890,1.384070,0
2014.05.09 01:52,1.384080,1.384110,1.384060,1.384100,0
2014.05.09 01:53,1.384080,1.384130,1.384000,1.384020,0
2014.05.09 01:54,1.384000,1.384040,1.384000,1.384010,0
2014.05.09 01:55,1.383960,1.384040,1.383960,1.384000,0
2014.05.09 01:56,1.384010,1.384080,1.384000,1.384070,0
2014.05.09 01:57,1.384060,1.384160,1.384060,1.384120,0
2014.05.09 01:58,1.384130,1.384160,1.384130,1.384150,0
2014.05.09 01:59,1.384160,1.384250,1.384140,1.384240,0
2014.05.09 02:00,1.384220,1.384220,1.383860,1.383860,0
2014.05.09 02:01,1.383870,1.383870,1.383720,1.383740,0
2014.05.09 02:02,1.383750,1.383770,1.383630,1.383770,0
2014.05.09 02:03,1.383750,1.383770,1.383690,1.383710,0
2014.05.09 02:04,1.383700,1.383700,1.383510,1.383540,0
2014.05.09 02:05,1.383520,1.383850,1.383520,1.383840,0
2014.05.09 02:06,1.383850,1.383870,1.383850,1.383870,0
2014.05.09 02:07,1.383880,1.384050,1.383790,1.383820,0
2014.05.09 02:08,1.383810,1.383860,1.383810,1.383840,0
2014.05.09 02:09,1.383830,1.383830,1.383650,1.383650,0
2014.05.09 02:10,1.383660,1.383760,1.383660,1.383720,0
2014.05.09 02:11,1.383730,1.383750,1.383660,1.383660,0
2014.05.09 02:12,1.383670,1.383700,1.383650,1.383670,0
2014.05.09 02:13,1.383680,1.383680,1.383630,1.383630,0
2014.05.09 02:14,1.383640,1.383760,1.383630,1.383670,0
2014.05.09 02:15,1.383660,1.383760,1.383640,1.383710,0
2014.05.09 02:16,1.383720,1.383740,1.383510,1.383590,0
2014.05.09 02:17,1.383560,1.383560,1.383310,1.383360,0
2014.05.09 02:18,1.383370,1.383480,1.383290,1.383300,0
2014.05.09 02:19,1.383310,1.383350,1.383290,1.383350,0
2014.05.09 02:20,1.383360,1.383410,1.383270,1.383280,0
2014.05.09 02:21,1.383290,1.383330,1.383130,1.383160,0
2014.05.09 02:22,1.383150,1.383150,1.383080,1.383120,0
2014.05.09 02:23,1.383110,1.383200,1.383100,1.383200,0
2014.05.09 02:24,1.383180,1.383220,1.383160,1.383220,0
2014.05.09 02:25,1.383210,1.383270,1.383170,1.383260,0
2014.05.09 02:26,1.383240,1.383260,1.383200,1.383260,0
2014.05.09 02:27,1.383270,1.383340,1.383270,1.383330,0
2014.05.09 02:28,1.383340,1.383480,1.383340,1.383480,0
2014.05.09 02:29,1.383470,1.383510,1.383460,1.383510,0
2014.05.09 02:30,1.383560,1.383570,1.383480,1.383490,0
2014.05.09 02:31,1.383500,1.383560,1.383490,1.383490,0
2014.05.09 02:32,1.383470,1.383490,1.383310,1.383310,0
2014.05.09 02:33,1.383290,1.383290,1.383190,1.383210,0
2014.05.09 02:34,1.383200,1.383200,1.383070,1.383130,0
2014.05.09 02:35,1.383140,1.383180,1.382980,1.382980,0
2014.05.09 02:36,1.382990,1.383080,1.382990,1.383000,0
2014.05.09 02:37,1.383030,1.383040,1.383000,1.383020,0
2014.05.09 02:38,1.383010,1.383010,1.382930,1.382930,0
2014.05.09 02:39,1.382900,1.383000,1.382880,1.382910,0
2014.05.09 02:40,1.382920,1.382960,1.382860,1.382880,0
2014.05.09 02:41,1.382870,1.382940,1.382840,1.382900,0
2014.05.09 02:42,1.382870,1.382870,1.382260,1.382310,0
2014.05.09 02:43,1.382350,1.382450,1.382310,1.382370,0
2014.05.09 02:44,1.382380,1.382440,1.382350,1.382420,0
2014.05.09 02:45,1.382430,1.382450,1.382380,1.382400,0
2014.05.09 02:46,1.382430,1.382430,1.382370,1.382410,0
2014.05.09 02:47,1.382400,1.382450,1.382400,1.382450,0
2014.05.09 02:48,1.382440,1.382470,1.382390,1.382400,0
2014.05.09 02:49,1.382420,1.382480,1.382390,1.382430,0
2014.05.09 02:50,1.382420,1.382460,1.382410,1.382450,0
2014.05.09 02:51,1.382440,1.382450,1.382400,1.382420,0
2014.05.09 02:52,1.382450,1.382630,1.382450,1.382600,0
2014.05.09 02:53,1.382610,1.382650,1.382610,1.382610,0
2014.05.09 02:54,1.382620,1.382630,1.382580,1.382610,0
2014.05.09 02:55,1.382620,1.382630,1.382620,1.382630,0
2014.05.09 02:56,1.382640,1.382720,1.382640,1.382700,0
2014.05.09 02:57,1.382690,1.382710,1.382690,1.382700,0
2014.05.09 02:58,1.382690,1.382700,1.382570,1.382600,0
2014.05.09 02:59,1.382580,1.382590,1.382420,1.382420,0
2014.05.09 03:00,1.382400,1.382610,1.382400,1.382610,0
2014.05.09 03:01,1.382600,1.382700,1.382600,1.382670,0
2014.05.09 03:02,1.382660,1.382670,1.382500,1.382540,0
2014.05.09 03:03,1.382550,1.382780,1.382550,1.382680,0
2014.05.09 03:04,1.382670,1.382680,1.382620,1.382640,0
2014.05.09 03:05,1.382650,1.382750,1.382610,1.382640,0
2014.05.09 03:06,1.382650,1.382740,1.382640,1.382660,0
2014.05.09 03:07,1.382650,1.382810,1.382650,1.382810,0
2014.05.09 03:08,1.382800,1.382960,1.382800,1.382960,0
2014.05.09 03:09,1.382980,1.383450,1.382960,1.383320,0
2014.05.09 03:10,1.383310,1.383400,1.383280,1.383400,0
2014.05.09 03:11,1.383390,1.383460,1.383080,1.383080,0
2014.05.09 03:12,1.383070,1.383160,1.383010,1.383160,0
2014.05.09 03:13,1.383200,1.383420,1.383200,1.383350,0
2014.05.09 03:14,1.383360,1.383400,1.383050,1.383090,0
2014.05.09 03:15,1.383170,1.383200,1.382830,1.382880,0
2014.05.09 03:16,1.382850,1.382850,1.382610,1.382680,0
2014.05.09 03:17,1.382690,1.382800,1.382680,1.382710,0
2014.05.09 03:18,1.382700,1.382880,1.382700,1.382840,0
2014.05.09 03:19,1.382850,1.382930,1.382850,1.382850,0
2014.05.09 03:20,1.382840,1.382890,1.382840,1.382880,0
2014.05.09 03:21,1.382870,1.382920,1.382790,1.382820,0
2014.05.09 03:22,1.382810,1.382900,1.382800,1.382870,0
2014.05.09 03:23,1.382890,1.382890,1.382790,1.382850,0
2014.05.09 03:24,1.382860,1.382900,1.382810,1.382900,0
2014.05.09 03:25,1.382910,1.382920,1.382810,1.382920,0
2014.05.09 03:26,1.382930,1.383040,1.382790,1.383000,0
2014.05.09 03:27,1.383010,1.383230,1.383000,1.383210,0
2014.05.09 03:28,1.383200,1.383210,1.382890,1.382950,0
2014.05.09 03:29,1.382940,1.383170,1.382920,1.383120,0
2014.05.09 03:30,1.383130,1.383470,1.383130,1.383420,0
2014.05.09 03:31,1.383400,1.383460,1.383360,1.383420,0
2014.05.09 03:32,1.383410,1.383440,1.383360,1.383360,0
2014.05.09 03:33,1.383340,1.383370,1.383040,1.383090,0
2014.05.09 03:34,1.383100,1.383180,1.383100,1.383150,0
2014.05.09 03:35,1.383130,1.383280,1.383000,1.383270,0
2014.05.09 03:36,1.383260,1.383280,1.383240,1.383260,0
2014.05.09 03:37,1.383280,1.383350,1.383250,1.383320,0
2014.05.09 03:38,1.383260,1.383330,1.383160,1.383220,0
2014.05.09 03:39,1.383230,1.383340,1.383220,1.383330,0
2014.05.09 03:40,1.383350,1.383350,1.383220,1.383250,0
2014.05.09 03:41,1.383260,1.383290,1.383250,1.383290,0
2014.05.09 03:42,1.383280,1.383330,1.383200,1.383230,0
2014.05.09 03:43,1.383220,1.383270,1.383220,1.383270,0
2014.05.09 03:44,1.383310,1.383340,1.383300,1.383340,0
2014.05.09 03:45,1.383350,1.383350,1.383260,1.383290,0
2014.05.09 03:46,1.383300,1.383370,1.383300,1.383370,0
2014.05.09 03:47,1.383380,1.383440,1.383340,1.383340,0
2014.05.09 03:48,1.383330,1.383430,1.383310,1.383430,0
2014.05.09 03:49,1.383440,1.383540,1.383410,1.383540,0
2014.05.09 03:50,1.383530,1.383570,1.383520,1.383570,0
2014.05.09 03:51,1.383560,1.383560,1.383530,1.383550,0
2014.05.09 03:52,1.383580,1.383600,1.383530,1.383530,0
2014.05.09 03:53,1.383510,1.383530,1.383300,1.383320,0
2014.05.09 03:54,1.383310,1.383350,1.383260,1.383350,0
2014.05.09 03:55,1.383340,1.383400,1.383320,1.383380,0
2014.05.09 03:56,1.383370,1.383380,1.383350,1.383350,0
2014.05.09 03:57,1.383370,1.383460,1.383360,1.383440,0
2014.05.09 03:58,1.383450,1.383460,1.383450,1.383450,0
2014.05.09 03:59,1.383460,1.383530,1.383410,1.383420,0
2014.05.09 04:00,1.383410,1.383460,1.383210,1.383230,0
2014.05.09 04:01,1.383210,1.383230,1.382700,1.382880,0
2014.05.09 04:02,1.382890,1.382950,1.382840,1.382930,0
2014.05.09 04:03,1.382940,1.383130,1.382940,1.383050,0
2014.05.09 04:04,1.383030,1.383130,1.383000,1.383020,0
2014.05.09 04:05,1.383010,1.383090,1.382950,1.382960,0
2014.05.09 04:06,1.382900,1.382960,1.382720,1.382840,0
2014.05.09 04:07,1.382850,1.382940,1.382760,1.382820,0
2014.05.09 04:08,1.382800,1.382800,1.382670,1.382700,0
2014.05.09 04:09,1.382720,1.382800,1.382680,1.382690,0
2014.05.09 04:10,1.382680,1.382720,1.382610,1.382710,0
2014.05.09 04:11,1.382700,1.382710,1.382680,1.382700,0
2014.05.09 04:12,1.382710,1.382720,1.382600,1.382600,0
2014.05.09 04:13,1.382590,1.382620,1.382570,1.382600,0
2014.05.09 04:14,1.382610,1.382630,1.382590,1.382600,0
2014.05.09 04:15,1.382560,1.382560,1.382500,1.382520,0
2014.05.09 04:16,1.382530,1.382530,1.382470,1.382500,0
2014.05.09 04:17,1.382520,1.382560,1.382470,1.382540,0
2014.05.09 04:18,1.382530,1.382550,1.382480,1.382540,0
2014.05.09 04:19,1.382530,1.382530,1.382430,1.382490,0
2014.05.09 04:20,1.382470,1.382520,1.382470,1.382490,0
2014.05.09 04:21,1.382480,1.382510,1.382360,1.382420,0
2014.05.09 04:22,1.382410,1.382510,1.382390,1.382510,0
2014.05.09 04:23,1.382500,1.382560,1.382500,1.382520,0
2014.05.09 04:24,1.382490,1.382600,1.382470,1.382540,0
2014.05.09 04:25,1.382510,1.382540,1.382450,1.382450,0
2014.05.09 04:26,1.382440,1.382440,1.382300,1.382300,0
2014.05.09 04:27,1.382310,1.382350,1.382300,1.382350,0
2014.05.09 04:28,1.382360,1.382410,1.382350,1.382390,0
2014.05.09 04:29,1.382380,1.382440,1.382380,1.382400,0
2014.05.09 04:30,1.382420,1.382420,1.382320,1.382390,0
2014.05.09 04:31,1.382380,1.382380,1.382290,1.382290,0
2014.05.09 04:32,1.382280,1.382310,1.382160,1.382270,0
2014.05.09 04:33,1.382280,1.382310,1.382270,1.382290,0
2014.05.09 04:34,1.382280,1.382320,1.382250,1.382250,0
